target_id,symbol,ensembl_id
6374,ATAT1,ENSG00000137343
6384,PLEKHA3,ENSG00000116095
6393,SLC6A9,ENSG00000196517
6395,FCGR2B,ENSG00000072694
6406,NUPR1,ENSG00000176046
6409,AOC1,ENSG00000002726
6433,BTN2A1,ENSG00000112763
6444,CHRNA7,ENSG00000175344
6479,MGAM,ENSG00000257335
6485,TLR7,ENSG00000196664
6494,SPHK2,ENSG00000063176
6509,DRD1,ENSG00000184845
6513,GRM2,ENSG00000164082
6535,MUC2,ENSG00000198788
6571,H1-3,ENSG00000124575
6574,OTULIN,ENSG00000154124
6605,IGKV2D-26,ENSG00000211623
6631,CD5L,ENSG00000073754
6637,F12,ENSG00000131187
6665,IL5RA,ENSG00000091181
6674,PTPRB,ENSG00000127329
6678,BBS2,ENSG00000125124
6691,NPFF,ENSG00000139574
6730,IRF6,ENSG00000117595
6731,IL10RA,ENSG00000110324
6767,AVPR2,ENSG00000126895
6776,GLRA2,ENSG00000101958
6779,CCR4,ENSG00000183813
6799,DLX6,ENSG00000006377
6805,FOLR1,ENSG00000110195
6858,HTR2C,ENSG00000147246
6862,RPTOR,ENSG00000141564
6909,MUC4,ENSG00000145113
6910,NDST1,ENSG00000070614
6911,BRD8,ENSG00000112983
6933,GBE1,ENSG00000114480
6934,NCSTN,ENSG00000162736
6956,MOGAT2,ENSG00000166391
6958,ARF6,ENSG00000165527
6986,SQLE,ENSG00000104549
7000,MIR132,ENSG00000267200
7001,PIP4P2,ENSG00000155099
7005,LINC01194,ENSG00000248131
7006,NGRN,ENSG00000182768
7009,CKAP2,ENSG00000136108
7014,STYK1,ENSG00000060140
7054,AIFM3,ENSG00000183773
7060,XCL1,ENSG00000143184
7069,DUSP26,ENSG00000133878
7071,BLOC1S1,ENSG00000135441
7091,IGHG1,ENSG00000211896
7096,MPL,ENSG00000117400
7100,CHEK2,ENSG00000183765
7105,IL17C,ENSG00000124391
7109,FBLN2,ENSG00000163520
7112,NDRG3,ENSG00000101079
7114,TRIM62,ENSG00000116525
7124,C1QA,ENSG00000173372
7146,PARD3,ENSG00000148498
7147,LPP,ENSG00000145012
7161,CD3D,ENSG00000167286
7165,MAP2K6,ENSG00000108984
7171,GLUD1,ENSG00000148672
7179,IL31RA,ENSG00000164509
