ensembl_id,ot_overall_max,ot_genetic_max,ot_animal_model_max,release,release_date,era
ENSG00000142168,1.0,1.0,0.3269964539511797,20.06,2020-06-01,A
ENSG00000105397,1.0,1.0,0.32578848141109323,20.06,2020-06-01,A
ENSG00000164120,1.0,1.0,0.32426163169373345,20.06,2020-06-01,A
ENSG00000126218,1.0,1.0,0.31539290969976236,20.06,2020-06-01,A
ENSG00000164344,1.0,1.0,0.23272500000000002,20.06,2020-06-01,A
ENSG00000147955,1.0,1.0,0.2,20.06,2020-06-01,A
ENSG00000277893,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000101868,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000102967,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000196517,1.0,1.0,0.326913592609783,20.06,2020-06-01,A
ENSG00000091513,1.0,1.0,0.3246508221372642,20.06,2020-06-01,A
ENSG00000172572,1.0,1.0,0.25,20.06,2020-06-01,A
ENSG00000166603,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000100311,1.0,1.0,0.32699573760867284,20.06,2020-06-01,A
ENSG00000107147,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000109861,1.0,1.0,0.31540986003517785,20.06,2020-06-01,A
ENSG00000080824,1.0,0.4187349342715361,0.3269951722828526,20.06,2020-06-01,A
ENSG00000116044,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000196743,1.0,1.0,0.2,20.06,2020-06-01,A
ENSG00000100053,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000172269,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000157184,1.0,1.0,0.3171924936431192,20.06,2020-06-01,A
ENSG00000100368,1.0,1.0,0.3229691862168117,20.06,2020-06-01,A
ENSG00000130816,1.0,1.0,0.2722222222222222,20.06,2020-06-01,A
ENSG00000185760,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000134259,1.0,1.0,0.3269821840157486,20.06,2020-06-01,A
ENSG00000143473,1.0,1.0,0.31713848202209394,20.06,2020-06-01,A
ENSG00000162711,1.0,1.0,0.3267980881068975,20.06,2020-06-01,A
ENSG00000125730,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000049089,1.0,1.0,0.32286017063750705,20.06,2020-06-01,A
ENSG00000105379,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000156113,1.0,1.0,0.32692627418893816,20.06,2020-06-01,A
ENSG00000092758,1.0,1.0,0.2823990277777778,20.06,2020-06-01,A
ENSG00000115221,1.0,1.0,0.32328357761948245,20.06,2020-06-01,A
ENSG00000000971,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000160255,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000135766,1.0,1.0,0.32280977190452637,20.06,2020-06-01,A
ENSG00000012504,1.0,1.0,0.32697740022471183,20.06,2020-06-01,A
ENSG00000185313,1.0,1.0,0.32647529236053174,20.06,2020-06-01,A
ENSG00000079999,1.0,0.06296122819185257,0.32479472462097336,20.06,2020-06-01,A
ENSG00000159640,1.0,1.0,0.3269958527288147,20.06,2020-06-01,A
ENSG00000163631,1.0,1.0,0.3265036433810422,20.06,2020-06-01,A
ENSG00000026025,1.0,1.0,0.3229452524137365,20.06,2020-06-01,A
ENSG00000110324,1.0,1.0,0.3222255419881166,20.06,2020-06-01,A
ENSG00000124155,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000112715,1.0,1.0,0.32699678003697863,20.06,2020-06-01,A
ENSG00000178538,1.0,1.0,0.3211786603043662,20.06,2020-06-01,A
ENSG00000188641,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000143839,1.0,1.0,0.3269914605464302,20.06,2020-06-01,A
ENSG00000104833,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000171608,1.0,1.0,0.3269049674132037,20.06,2020-06-01,A
ENSG00000167286,1.0,1.0,0.26918444444444445,20.06,2020-06-01,A
ENSG00000258839,1.0,1.0,0.326710026976728,20.06,2020-06-01,A
ENSG00000114200,1.0,1.0,0.0,20.06,2020-06-01,A
ENSG00000116039,1.0,1.0,0.3256479382814148,20.06,2020-06-01,A
ENSG00000082701,1.0,0.6264272190348348,0.3173096162228157,20.06,2020-06-01,A
ENSG00000185499,1.0,1.0,0.3187698725272544,20.06,2020-06-01,A
ENSG00000014216,1.0,1.0,0.31588551713904733,20.06,2020-06-01,A
ENSG00000131759,1.0,0.3167154545915061,0.3259703125952919,20.06,2020-06-01,A
ENSG00000110195,1.0,1.0,0.31148188886850875,20.06,2020-06-01,A
ENSG00000100342,1.0,1.0,0.0,20.06,2020-06-01,A
