sponsor,n_originated,n_approved,success_pct
AiCuris Anti-infective Cures,4,0,0.0
Allakos Inc.,4,0,0.0
Orasis Pharmaceuticals Ltd.,4,0,0.0
Fougera Pharmaceuticals Inc.,4,0,0.0
Emergent BioSolutions,4,0,0.0
American Regent,4,0,0.0
Fresenius Kabi SwissBioSim,4,0,0.0
NanOlogy,4,0,0.0
Anthos Therapeutics,4,0,0.0
Pharmacosmos A/S,4,0,0.0
Keros Therapeutics,4,0,0.0
Arbor Pharmaceuticals,4,0,0.0
Alfasigma,4,0,0.0
Axovant Sciences Ltd.,4,0,0.0
Ironwood Pharmaceuticals,4,0,0.0
Johnson & Johnson Vision Care,4,0,0.0
Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co,4,0,0.0
Parion Sciences,4,0,0.0
SK Bioscience Co,4,0,0.0
Lupin,4,0,0.0
Seelos Therapeutics,4,0,0.0
Caliway Biopharmaceuticals Co,4,0,0.0
Tanvex BioPharma USA,4,0,0.0
HB BioTech,4,0,0.0
EA Pharma Co,4,0,0.0
IlDong Pharmaceutical Co Ltd,4,0,0.0
Cristália Produtos Químicos Farmacêuticos Ltda.,4,0,0.0
Mannkind Corporation,4,0,0.0
Idera Pharmaceuticals,4,0,0.0
DelMar Pharmaceuticals,4,0,0.0
Dr. Falk Pharma,4,0,0.0
Senju Pharmaceutical Co,4,0,0.0
"Rampart Health, L.L.C.",4,0,0.0
4D pharma plc,4,0,0.0
Sylentis,4,0,0.0
Iperboreal Pharma,4,0,0.0
Portola Pharmaceuticals,4,1,25.0
TAHO Pharmaceuticals Ltd.,4,0,0.0
Alector Inc.,4,0,0.0
"Tonghua Dongbao Pharmaceutical Co.,Ltd",4,0,0.0
AZTherapies,4,0,0.0
NoNO Inc.,4,0,0.0
ILiAD Biotechnologies,4,0,0.0
Advantage Silver Dental Arrest,4,0,0.0
Shandong Luoxin Pharmaceutical Group Stock Co,4,0,0.0
Intuitive Surgical,4,0,0.0
Zai Lab (Shanghai) Co,4,0,0.0
Medipost Co Ltd.,4,0,0.0
Windtree Therapeutics,4,0,0.0
Akros Pharma Inc.,4,0,0.0
Sinovac (Dalian) Vaccine Technology Co,4,0,0.0
Shanghai Haiyan Pharmaceutical Technology Co,4,0,0.0
Shanghai Biomabs Pharmaceutical Co,4,0,0.0
Oneness Biotech Co,4,0,0.0
Corbus Pharmaceuticals Inc.,4,0,0.0
Highlight Therapeutics,4,0,0.0
Aronora,4,0,0.0
Jeil Pharmaceutical Co,4,0,0.0
Corcept Therapeutics,4,0,0.0
Salvat,4,0,0.0
Baxter Healthcare Corporation,4,0,0.0
Dart NeuroScience,4,0,0.0
Wockhardt,4,0,0.0
Kind Pharmaceuticals LLC,4,0,0.0
Dermata Therapeutics,4,0,0.0
NewLink Genetics Corporation,4,0,0.0
Mereo BioPharma,4,0,0.0
Tarsus Pharmaceuticals,4,0,0.0
Renibus Therapeutics,4,0,0.0
